BIPA	GRAPHEME	FEATURES	LATEX
	x̟ʲː	velar, palatal:fricative:−voice	\begin{IPA}\|+x̟\end{IPA}\super j\textlengthmark
	x̠ʲː	velar, palatal:fricative:−voice	\textsubbar{x}\super j\textlengthmark
	ɣ̟ʲː	velar, palatal:fricative:+voice	\begin{IPA}\|+G̟\end{IPA}\super j\textlengthmark
	ɣ̠ʲː	velar, palatal:fricative:+voice	\textsubbar{\textipa{G}}\super j\textlengthmark
	ɡ̟͡ɣ̟ʲː	velar, palatal:affricate:+voice	\begin{IPA} \t{\|+g \|+G} \end{IPA} \super j\textlengthmark
	ɡ͡ɣʲː	velar, palatal:affricate:+voice	\t{ɡ͡\textipa{G}}\super j\textlengthmark
	ɡ̠͡ɣ̠ʲː	velar, palatal:affricate:+voice	\t{\textsubbar{ɡ} \textsubbar{\textipa{G}}}\super j\textlengthmark
	k̟͡x̟ʲː	velar, palatal:affricate:−voice	\t{\begin{IPA}\|+k̟\|+x̟\end{IPA}}\super j\textlengthmark
	k͡xʲː	velar, palatal:affricate:−voice	\t{kx}\super j\textlengthmark
	k̠͡x̠ʲː	velar, palatal:affricate:−voice	\t{\textsubbar{k}\textsubbar{x}}\super j\textlengthmark
	ŋ̟ʲː	velar, palatal:nasal:+voice +nasal	\begin{IPA}\|+N̟\end{IPA}\super j\textlengthmark
	ŋ̠ʲː	velar, palatal:nasal:+voice +nasal	\textipa{\=*N}\super j\textlengthmark
	ɢ͡ʁʲː	uvular, palatal:affricate:+voice	\t{\textscg \textipa{K}}\super j\textlengthmark
	q͡χʲː	uvular, palatal:affricate:−voice	\t{q͡\textchi}\super j\textlengthmark 
