BIPA	GRAPHEME	FEATURES	LATEX
	d̪͡z̪ː	dental:affricate:+voice	\t{\textsubbridge{d}\textsubbridge{z}}\textlengthmark
	d̪͡ɮ̪ː	dental:affricate:+voice +lateral	\t{\textsubbridge{d}͡\textsubbridge{\textlyoghlig}}\textlengthmark
	d̠͡ɮ̠ː	dental:affricate:+voice +lateral	\t{\textsubbar{d}͡\textsubbar{\textlyoghlig}}\textlengthmark
	t̪͡ɬ̪ː	dental:affricate:+voice +lateral	\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}\textlengthmark
	d͡zː	dental:affricate:+voice	\t{dz}\textlengthmark
	d͡z͎ː	dental:affricate:+voice	\t{d͡\begin{IPA}\whistle{z}\end{IPA}}\textlengthmark
	ɬ̪ː	dental:fricative:+voice +lateral	\textsubbridge{\textbeltl}\textlengthmark
	ɮ̪ː	dental:fricative:+voice +lateral	\textsubbridge{\textlyoghlig}\textlengthmark
	d̪͡ðː	dental:affricate:+voice	\t{\textsubbridge{d}͡ð}\textlengthmark
	n̪ː	dental:nasal:+voice +nasal	\textsubbridge{n}\textlengthmark
	tː	alveolar:plosive:−voice	t\textlengthmark
	t̠ː	alveolar:plosive:−voice	\textsubbar{t}\textlengthmark
	dː	alveolar:plosive:+voice	d\textlengthmark
	sː	alveolar:fricative:−voice	s\textlengthmark
	s͎ː	alveolar:fricative:−voice	\begin{IPA}\whistle{s}\end{IPA}\textlengthmark
	zː	alveolar:fricative:+voice	z\textlengthmark
	z͎ː	alveolar:fricative:+voice	\begin{IPA}\whistle{z}\end{IPA}\textlengthmark
	t͡sː	alveolar:affricate:−voice	\t{ts}\textlengthmark
	t͡s͎ː	alveolar:affricate:−voice	\t{t͡\begin{IPA}\whistle{s}\end{IPA}}\textlengthmark
	d͡ɮː	alveolar:affricate:+voice +lateral	\t{d͡\textlyoghlig}\textlengthmark
	t͡ɬː	alveolar:affricate:+voice +lateral	\t{t͡\textbeltl}\textlengthmark
	t͡ɬ̲ː	alveolar:affricate:+voice +lateral	\t{t͡\textsubbar{\textbeltl}}\textlengthmark
	ɬː	alveolar:fricative:+voice +lateral	\textbeltl\textlengthmark
	ɬ̠ː	alveolar:fricative:+voice +lateral	\textsubbar{\textbeltl}\textlengthmark
	ɮː	alveolar:fricative:+voice +lateral	\textlyoghlig\textlengthmark
	ɮ̠ː	alveolar:fricative:+voice +lateral	\textsubbar{\textlyoghlig}\textlengthmark
	nː	alveolar:nasal:+voice +nasal	n\textlengthmark
	n̠ː	alveolar:nasal:+voice +nasal	\textipa{\=*n}\textlengthmark
	ʃː	palatoalveolar:fricative:−voice	\textipa{S}\textlengthmark
	ʒː	palatoalveolar:fricative:+voice	\textyogh\textlengthmark
	t͡ʃː	palatoalveolar:affricate:−voice	\t{t͡\textipa{S}}\textlengthmark
	d͡ʒː	palatoalveolar:affricate:+voice	\t{d͡\textyogh}\textlengthmark
	ʈː	retroflex:plosive:−voice	\textrtailt\textlengthmark
	ɖː	retroflex:plosive:+voice	\textrtaild\textlengthmark
	ʂː	retroflex:fricative:−voice	\textrtails\textlengthmark
	ʐː	retroflex:fricative:+voice	\textrtailz\textlengthmark
	ʈ͡ʂː	retroflex:affricate:−voice	\t{\textrtailt \textrtails}\textlengthmark
	ɖ͡ʐː	retroflex:affricate:+voice	\t{ɖ͡\textrtailz}\textlengthmark
	ɳː	retroflex:nasal:+voice +nasal	\:n\textlengthmark
	cː	palatal:plosive:−voice	c\textlengthmark
	ɟː	palatal:plosive:+voice	\textbardotlessj\textlengthmark
	c͡çː	palatal:affricate:−voice	\t{c\c{c}}\textlengthmark
	ɟ͡ʝː	palatal:affricate:+voice	\t{ɟ͡\textctj}\textlengthmark
	çː	palatal:fricative:−voice	\c{c}\textlengthmark
	ʝː	palatal:fricative:+voice	\textctj\textlengthmark
	ɲː	palatal:nasal:+voice +nasal	\textltailn\textlengthmark
	k̟ː	velar:plosive:−voice	\begin{IPA}\|+k̟\end{IPA}\textlengthmark
	kː	velar:plosive:−voice	k\textlengthmark
	k̠ː	velar:plosive:−voice	\textsubbar{k}\textlengthmark
	ɡː	velar:plosive:+voice	ɡ\textlengthmark
	ɠː	velar:plosive:+voice	\texthtg\textlengthmark
	x̟ː	velar:fricative:−voice	\begin{IPA}\|+x̟\end{IPA}\textlengthmark
	xː	velar:fricative:−voice	x\textlengthmark
	x̠ː	velar:fricative:−voice	\textsubbar{x}\textlengthmark
	ɣ̟ː	velar:fricative:+voice	\begin{IPA}\|+G̟\end{IPA}\textlengthmark
	ɣː	velar:fricative:+voice	\textipa{G}\textlengthmark
	ɣ̠ː	velar:fricative:+voice	\textsubbar{\textipa{G}}\textlengthmark
	ɡ̟͡ɣ̟ː	velar:affricate:+voice	\begin{IPA} \t{\|+g \|+G} \end{IPA} \textlengthmark
	ɡ͡ɣː	velar:affricate:+voice	\t{ɡ͡\textipa{G}}\textlengthmark
	ɡ̠͡ɣ̠ː	velar:affricate:+voice	\t{\textsubbar{ɡ} \textsubbar{\textipa{G}}}\textlengthmark
	k̟͡x̟ː	velar:affricate:−voice	\t{\begin{IPA}\|+k̟\|+x̟\end{IPA}}\textlengthmark
	k͡xː	velar:affricate:−voice	\t{kx}\textlengthmark
	k̠͡x̠ː	velar:affricate:−voice	\t{\textsubbar{k}\textsubbar{x}}\textlengthmark
	ŋː	velar:nasal:+voice +nasal	\textipa{N}\textlengthmark
