BIPA	GRAPHEME	FEATURES	SYMBOLS
bd̻	b͡d̻	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor +distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌̻
bdⁿ	b͡dⁿ	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌ⁿ
bv	b͡v	-syl -son +cons -cont +delrel -lat -nas +strid +voi -sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌b ◌v
bvʰ	b͡vʰ	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌b ◌v ◌ʰ
bvʰː	b͡vʰː	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab -hi -lo -back -round -velaric +long	◌b ◌v ◌ʰ ◌ː
bvʱ	b͡v̤	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab -hi -lo -back -round -velaric -long	◌b ◌v ◌ʱ
bvʱː	b͡v̤ː	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab -hi -lo -back -round -velaric +long	◌b ◌v ◌ʱ ◌ː
bvʲ	b͡vʲ	-syl -son +cons -cont +delrel -lat -nas +strid +voi -sg -cg +ant -cor +lab +hi -lo -back -round -velaric -long	◌b ◌v ◌ʲ
bvʲʰ	b͡vʰʲ	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab +hi -lo -back -round -velaric -long	◌b ◌v ◌ʲ ◌ʰ
bvʲʰ	b͡vʲʰ	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab +hi -lo -back -round -velaric -long	◌b ◌v ◌ʲ ◌ʰ
bvʲʱ	b͡v̤ʲ	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab +hi -lo -back -round -velaric -long	◌b ◌v ◌ʲ ◌ʱ
bvʲʷ	b͡vʲʷ	-syl -son +cons -cont +delrel -lat -nas +strid +voi -sg -cg +ant -cor +lab +hi -lo +back +round -velaric -long	◌b ◌v ◌ʲ ◌ʷ
bvʲʷʰ	b͡vʲʷʰ	-syl -son +cons -cont +delrel -lat -nas +strid +voi +sg -cg +ant -cor +lab +hi -lo +back +round -velaric -long	◌b ◌v ◌ʲ ◌ʷ ◌ʰ
