BIPA	GRAPHEME	COLUMN	COUNT	NOTE	SYMBOLS
tsʷˀ	tˢˀʷ	34	1		◌t ◌s ◌ʷ ◌ˀ
ʈ	ṭ	628	222		◌ʈ
ʈʰ	ṭʰ	674	75		◌ʈ ◌ʰ
ʈʳ	ṭʳ	42	3		◌ʈ ◌ʳ
ʈˀ	ṭˀ	656	14		◌ʈ ◌ˀ
ʈʂ	ṭˢ	61	24		◌ʈ ◌ʂ
ʈʂʰ	ṭˢʰ	99	16		◌ʈ ◌ʂ ◌ʰ
ʈʂˀ	ṭˢˀ	31	5		◌ʈ ◌ʂ ◌ˀ
t̪	t̪	565	53		◌t ◌̪
t̪ʰ	t̪ʰ	682	2		◌t ◌̪ ◌ʰ
t̪ʷ	t̪ʷ	695	1		◌t ◌̪ ◌ʷ
t̪ˀ	t̪ˀ	679	1		◌t ◌̪ ◌ˀ
tʲ	t̯	601	48	Looks like NAPA style palatal marker. @lingulist	◌t ◌ʲ
tʲʰ	t̯ʰ	678	1	Looks like NAPA style palatal marker. @lingulist	◌t ◌ʲ ◌ʰ
tθ	tᶿ	18	5		◌t ◌θ
tθʰ	tᶿʰ	103	3		◌t ◌θ ◌ʰ
tθˀ	tᶿˀ	107	5		◌t ◌θ ◌ˀ
u	u	132	1779		◌u
ṳ	ṳ	136	4		◌u ◌̤
u̠	u̱	135	2		◌u ◌̠
v	v	347	596		◌v
v	v	330	3		◌v
vʰ	vʰ	398	1		◌v ◌ʰ
vʷ	vʷ	294	2		◌v ◌ʷ
vˀ	vˀ	512	3		◌v ◌ˀ
vː	vː	491	968		◌v ◌ː
vː	vː	500	2		◌v ◌ː
vː	vː	507	1		◌v ◌ː
vʱː	vː̤	499	1		◌v ◌ʱ ◌ː
v̰ː	vː̰	487	1		◌v ◌̰ ◌ː
ṽ	v˜	502	462		◌v ◌̃
ṽː	v˜ː	506	111		◌v ◌̃ ◌ː
ⱱ	v̆	501	2		◌ⱱ
v̥	v̊	709	14		◌v ◌̥
vʱ	v̤	496	40		◌v ◌ʱ
vʱː	v̤ː	511	8		◌v ◌ʱ ◌ː
v̥	v̥	504	4		◌v ◌̥
v̰	v̰	510	31		◌v ◌̰
v̰ː	v̰ː	503	6		◌v ◌̰ ◌ː
v̠	v̱	489	3		◌v ◌̠
w	w	424	1684		◌w
wˀ	wˀ	430	6		◌w ◌ˀ
w̃	w˜	420	13		◌w ◌̃
wʱ	w̤	416	1		◌w ◌ʱ
w̥	w̥	423	41		◌w ◌̥
x	x	350	476		◌x
xʰ	xʰ	378	1		◌x ◌ʰ
xʷ	xʷ	375	59		◌x ◌ʷ
xˀ	xˀ	299	4		◌x ◌ˀ
xʷˀ	xˀʷ	349	1		◌x ◌ʷ ◌ˀ
y	y	407	140		◌y
z	z	352	597		◌z
zʱ	zʱ	383	1		◌z ◌ʱ
zʷ	zʷ	355	1		◌z ◌ʷ
zʼ	zʹ	397	1		◌z ◌’
zˀ	zˀ	331	1		◌z ◌ˀ
ʒ	ž	389	291		◌ʒ
ʒʱ	žʱ	379	1		◌ʒ ◌ʱ
ʐ	ẓ̌	392	15		◌ʐ
ʐ	ẓ	395	19		◌ʐ
zʱ	z̤	371	1		◌z ◌ʱ
z̪	z̪	351	3		◌z ◌̪
z̪ʲ	z̪ʲ	360	1		◌z ◌̪ ◌ʲ
æ	æ	403	161		◌æ
ð	ð	293	112		◌ð
ðʲ	ðʲ	334	1		◌ð ◌ʲ
ø	ø	406	106		◌ø
ħ	ħ	297	53		◌ħ
ŋ	ŋ	553	1206		◌ŋ
ŋm	ŋm	518	40		◌ŋ ◌m
ŋʲ	ŋʲ	548	1		◌ŋ ◌ʲ
ŋʷ	ŋʷ	523	29		◌ŋ ◌ʷ
ŋˀ	ŋˀ	527	2		◌ŋ ◌ˀ
ŋ̊	ŋ̥	559	30		◌ŋ ◌̊
ŋ̥ʲ	ŋ̥ʲ	550	1		◌ŋ ◌̥ ◌ʲ
ŋ̥ʷ	ŋ̥ʷ	521	1		◌ŋ ◌̥ ◌ʷ
œ	œ	412	33		◌œ
ǁ	ǁ	230	33		◌ǁ
ǁʰ	ǁʰ	239	28		◌ǁ ◌ʰ
ǁʱ	ǁʱ	289	2		◌ǁ ◌ʱ
ǁˀ	ǁˀ	225	27		◌ǁ ◌ˀ
ǁˀʰ	ǁˀʰ	281	1		◌ǁ ◌ˀ ◌ʰ
ǂ	ǂ	186	20		◌ǂ
ǂʰ	ǂʰ	177	19		◌ǂ ◌ʰ
ǂʱ	ǂʱ	210	2		◌ǂ ◌ʱ
