BIPA	ID	GRAPHEME	FEATURES	SYMBOLS
õũ	2435	õũ	nasalized diphtong high higher mid back rounded rising	◌o ◌̃ ◌u ◌̃
õˀ	5987	õˀ	nasalized laryngealized higher mid back rounded	◌o ◌̃ ◌ˀ
õː	1604	õː	nasalized long higher mid back rounded	◌o ◌̃ ◌ː
õː	1644	õː'	nasalized long unspecified mid back rounded	◌o ◌̃ ◌ː
õ̰	1691	õ̰	nasalized laryngealized higher mid back rounded	◌o ◌̰ ◌̃
ŏ	1787	ŏ	overshort higher mid back rounded	◌o ◌̆
o̰	1656	o̰	laryngealized higher mid back rounded	◌o ◌̰
p	2	p	pulmonic stop voiceless bilabial	◌p
pf	1806	pf	pulmonic affricate voiceless bilabial labio-dental	◌p ◌f
pʰ	5823	pʰ	pulmonic stop aspirated voiceless bilabial	◌p ◌ʰ
pʷʰ	6047	pʰʷ	pulmonic stop aspirated voiceless labialized bilabial	◌p ◌ʷ ◌ʰ
pʲ	3086	pʲ	pulmonic stop voiceless palatalized bilabial	◌p ◌ʲ
pʷ	1866	pʷ	pulmonic stop voiceless labialized bilabial	◌p ◌ʷ
pʲʷ	2185	pʷʲ	pulmonic stop voiceless labialized palatalized bilabial	◌p ◌ʲ ◌ʷ
pʼʷ	2039	pʷʼ	ejective stop labialized bilabial	◌p ◌’ ◌ʷ
pʼ	1811	pʼ	ejective stop bilabial	◌p ◌ʼ
pˠ	1983	pˠ	pulmonic stop voiceless velarized bilabial	◌p ◌ˠ
