BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ts̪ʲː	palatalized long voiceless dental sibilant affricate consonant	+	+	t̪͡s̪ʲː	◌t ◌s ◌̪ ◌ʲ ◌ː		\t{\textsubbridge{t}\textsubbridge{s}}\super j\textlengthmark	dental, palatal:affricate:−voice				
ts̪ʷ	labialized voiceless dental sibilant affricate consonant	+	+	t̪͡s̪ʷ	◌t ◌s ◌̪ ◌ʷ		\t{\textsubbridge{t}\textsubbridge{s}}\super w	dental, labial:affricate:−voice				
ts̪ʷː	labialized long voiceless dental sibilant affricate consonant	+	+	t̪͡s̪ʷː	◌t ◌s ◌̪ ◌ʷ ◌ː		\t{\textsubbridge{t}\textsubbridge{s}}\super w\textlengthmark	dental, labial:affricate:−voice				
ts̪ː	long voiceless dental sibilant affricate consonant		+	t̪͡s̪ː	◌t ◌s ◌̪ ◌ː		\t{\textsubbridge{t}\textsubbridge{s}}\textlengthmark	dental:affricate:−voice				
tɬ̪	voiceless dental lateral affricate consonant		+	t̪͡ɬ̪	◌t ◌ɬ ◌̪		\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}	dental:affricate:+voice +lateral				
tɬ̪ʰ	aspirated voiceless dental lateral affricate consonant		+	t̪͡ɬ̪ʰ	◌t ◌ɬ ◌̪ ◌ʰ		\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}} extsuperscript{h}	dental:affricate:+voice +lateral +spread glottis				
tɬ̪ʰː	aspirated long voiceless dental lateral affricate consonant	+	+	t̪͡ɬ̪ʰː	◌t ◌ɬ ◌̪ ◌ʰ ◌ː		\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}} extsuperscript{h}\textlengthmark	dental:affricate:+voice +lateral +spread glottis				
tɬ̪ʲ	palatalized voiceless dental lateral affricate consonant	+	+	t̪͡ɬ̪ʲ	◌t ◌ɬ ◌̪ ◌ʲ		\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}\super j	dental, palatal:affricate:+voice +lateral				
tɬ̪ʲː	palatalized long voiceless dental lateral affricate consonant	+	+	t̪͡ɬ̪ʲː	◌t ◌ɬ ◌̪ ◌ʲ ◌ː		\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}\super j\textlengthmark	dental, palatal:affricate:+voice +lateral				
tɬ̪ʷ	labialized voiceless dental lateral affricate consonant	+	+	t̪͡ɬ̪ʷ	◌t ◌ɬ ◌̪ ◌ʷ		\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}\super w	dental, labial:affricate:+voice +lateral				
