ID	NAME	FEATURES	TYPE	GRAPHEME	UNICODE	GENERATED	NOTE
with-nasal-release_voiced_velar-and-bilabial_stop_consonant	with-nasal-release voiced velar-and-bilabial stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_velar-and-bilabial consonant_manner_stop	consonant	gbⁿ	LATIN SMALL LETTER G / LATIN SMALL LETTER B / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_velar_stop_consonant	with-nasal-release voiced velar stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_velar consonant_manner_stop	consonant	gⁿ	LATIN SMALL LETTER G / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_velar_implosive_consonant	with-nasal-release voiced velar implosive consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_velar consonant_manner_implosive	consonant	ɠⁿ	LATIN SMALL LETTER G WITH HOOK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_uvular_stop_consonant	with-nasal-release voiced uvular stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_uvular consonant_manner_stop	consonant	ɢⁿ	LATIN LETTER SMALL CAPITAL G / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_uvular_implosive_consonant	with-nasal-release voiced uvular implosive consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_uvular consonant_manner_implosive	consonant	ʛⁿ	LATIN LETTER SMALL CAPITAL G WITH HOOK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_retroflex_stop_consonant	with-nasal-release voiced retroflex stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_retroflex consonant_manner_stop	consonant	ɖⁿ	LATIN SMALL LETTER D WITH TAIL / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_post-alveolar_stop_consonant	with-nasal-release voiced post-alveolar stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_post-alveolar consonant_manner_stop	consonant	d̠ⁿ	LATIN SMALL LETTER D / COMBINING MINUS SIGN BELOW / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_palatal_stop_consonant	with-nasal-release voiced palatal stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_palatal consonant_manner_stop	consonant	ɟⁿ	LATIN SMALL LETTER DOTLESS J WITH STROKE / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_palatal_implosive_consonant	with-nasal-release voiced palatal implosive consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_palatal consonant_manner_implosive	consonant	ʄⁿ	LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_dental_stop_consonant	with-nasal-release voiced dental stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_dental consonant_manner_stop	consonant	d̪ⁿ	LATIN SMALL LETTER D / COMBINING BRIDGE BELOW / SUPERSCRIPT LATIN SMALL LETTER N		
with-nasal-release_voiced_dental_implosive_consonant	with-nasal-release voiced dental implosive consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_dental consonant_manner_implosive	consonant	ɗⁿ	LATIN SMALL LETTER D WITH HOOK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_bilabial-and-alveolar_stop_consonant	with-nasal-release voiced bilabial-and-alveolar stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_bilabial-and-alveolar consonant_manner_stop	consonant	bdⁿ	LATIN SMALL LETTER B / LATIN SMALL LETTER D / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_bilabial_stop_consonant	with-nasal-release voiced bilabial stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_bilabial consonant_manner_stop	consonant	bⁿ	LATIN SMALL LETTER B / SUPERSCRIPT LATIN SMALL LETTER N		
with-nasal-release_voiced_bilabial_implosive_consonant	with-nasal-release voiced bilabial implosive consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_bilabial consonant_manner_implosive	consonant	ɓⁿ	LATIN SMALL LETTER B WITH HOOK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiced_alveolar_stop_consonant	with-nasal-release voiced alveolar stop consonant	consonant_release_with-nasal-release consonant_phonation_voiced consonant_place_alveolar consonant_manner_stop	consonant	dⁿ	LATIN SMALL LETTER D / SUPERSCRIPT LATIN SMALL LETTER N		
with-nasal-release_devoiced_voiced_dental_stop_consonant	with-nasal-release devoiced voiced dental stop consonant	consonant_release_with-nasal-release consonant_voicing_devoiced consonant_phonation_voiced consonant_place_dental consonant_manner_stop	consonant	d̪̥ⁿ	LATIN SMALL LETTER D / COMBINING BRIDGE BELOW / COMBINING RING BELOW / SUPERSCRIPT LATIN SMALL LETTER N		DP!
with-nasal-release_devoiced_voiced_alveolar_stop_consonant	with-nasal-release devoiced voiced alveolar stop consonant	consonant_release_with-nasal-release consonant_voicing_devoiced consonant_phonation_voiced consonant_place_alveolar consonant_manner_stop	consonant	d̥ⁿ	LATIN SMALL LETTER D / COMBINING RING BELOW / SUPERSCRIPT LATIN SMALL LETTER N		
with-lateral-release_voiceless_velar_stop_consonant	with-lateral-release voiceless velar stop consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_velar consonant_manner_stop	consonant	kˡ	LATIN SMALL LETTER K / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_velar_fricative_consonant	with-lateral-release voiceless velar fricative consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_velar consonant_manner_fricative	consonant	xˡ	LATIN SMALL LETTER X / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_retroflex_stop_consonant	with-lateral-release voiceless retroflex stop consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_retroflex consonant_manner_stop	consonant	ʈˡ	LATIN SMALL LETTER T WITH RETROFLEX HOOK / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_palatal_click_consonant	with-lateral-release voiceless palatal click consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_palatal consonant_manner_click	consonant	ǂˡ	LATIN LETTER ALVEOLAR CLICK / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_labio-dental_fricative_consonant	with-lateral-release voiceless labio-dental fricative consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_labio-dental consonant_manner_fricative	consonant	fˡ	LATIN SMALL LETTER F / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_dental_stop_consonant	with-lateral-release voiceless dental stop consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_dental consonant_manner_stop	consonant	t̪ˡ	LATIN SMALL LETTER T / COMBINING BRIDGE BELOW / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_dental_click_consonant	with-lateral-release voiceless dental click consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_dental consonant_manner_click	consonant	ǀˡ	LATIN LETTER DENTAL CLICK / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_bilabial-and-alveolar_stop_consonant	with-lateral-release voiceless bilabial-and-alveolar stop consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_bilabial-and-alveolar consonant_manner_stop	consonant	ptˡ	LATIN SMALL LETTER P / LATIN SMALL LETTER T / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_bilabial_stop_consonant	with-lateral-release voiceless bilabial stop consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_bilabial consonant_manner_stop	consonant	pˡ	LATIN SMALL LETTER P / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_alveolar_stop_consonant	with-lateral-release voiceless alveolar stop consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_alveolar consonant_manner_stop	consonant	tˡ	LATIN SMALL LETTER T / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_alveolar_lateral_click_consonant	with-lateral-release voiceless alveolar lateral click consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_alveolar consonant_airstream_lateral consonant_manner_click	consonant	ǁˡ	LATIN LETTER LATERAL CLICK / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiceless_alveolar_click_consonant	with-lateral-release voiceless alveolar click consonant	consonant_release_with-lateral-release consonant_phonation_voiceless consonant_place_alveolar consonant_manner_click	consonant	ǃˡ	LATIN LETTER RETROFLEX CLICK / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_velar_stop_consonant	with-lateral-release voiced velar stop consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_velar consonant_manner_stop	consonant	gˡ	LATIN SMALL LETTER G / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_retroflex_stop_consonant	with-lateral-release voiced retroflex stop consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_retroflex consonant_manner_stop	consonant	ɖˡ	LATIN SMALL LETTER D WITH TAIL / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_palatal_stop_consonant	with-lateral-release voiced palatal stop consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_palatal consonant_manner_stop	consonant	ɟˡ	LATIN SMALL LETTER DOTLESS J WITH STROKE / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_labio-dental_fricative_consonant	with-lateral-release voiced labio-dental fricative consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_labio-dental consonant_manner_fricative	consonant	vˡ	LATIN SMALL LETTER V / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_dental_stop_consonant	with-lateral-release voiced dental stop consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_dental consonant_manner_stop	consonant	d̪ˡ	LATIN SMALL LETTER D / COMBINING BRIDGE BELOW / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_dental_implosive_consonant	with-lateral-release voiced dental implosive consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_dental consonant_manner_implosive	consonant	ɗˡ	LATIN SMALL LETTER D WITH HOOK / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_bilabial-and-alveolar_stop_consonant	with-lateral-release voiced bilabial-and-alveolar stop consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_bilabial-and-alveolar consonant_manner_stop	consonant	bdˡ	LATIN SMALL LETTER B / LATIN SMALL LETTER D / MODIFIER LETTER SMALL L	+	
with-lateral-release_voiced_bilabial_stop_consonant	with-lateral-release voiced bilabial stop consonant	consonant_release_with-lateral-release consonant_phonation_voiced consonant_place_bilabial consonant_manner_stop	consonant	bˡ	LATIN SMALL LETTER B / MODIFIER LETTER SMALL L	+	
