BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
bʲ	by	bʲ	conso:stop:bilabial:voiced:palatalized	◌b ◌ʲ
bʷ	bW	bʷ	conso:stop:bilabial:voiced:labialized	◌b ◌ʷ
bʼ	b'	bʼ	conso:stop:bilabial:voiced:glottalized	◌b ◌’
bʼ	b’	bʼ	conso:stop:bilabial:voiced:glottalized	◌b ◌’
bː	b:	bː	conso:stop:bilabial:voiced_long:plain	◌b ◌ː
bˡ	bl	bˡ	conso:stop:bilabial:voiced:lateral	◌b ◌ˡ
bˤ	b³	bˤ	conso:stop:bilabial:voiced:pharyngealized	◌b ◌ˤ
b̥	b8	b̥	conso:stop:bilabial:devoiced:plain	◌b ◌̥
bd	bƒd	b͡d	conso:stop:bilabial_to_alveolar:voiced:plain	◌b ◌d
bg	bƒg	b͡ɡ	conso:stop:bilabial_to_velar:voiced:plain	◌b ◌g
c	c	c	conso:stop:palatal:voiceless:plain	◌c
cç	cC	cç	conso:affricate:palatal:voiceless:plain	◌c ◌c ◌̧
cçʰ	cCh	cçʰ	conso:affricate:palatal:voiceless:aspirated	◌c ◌c ◌̧ ◌ʰ
cçʼ	cC'	cçʼ	conso:affricate:palatal:voiceless:glottalized	◌c ◌c ◌̧ ◌’
cçʼ	cC’	cçʼ	conso:affricate:palatal:voiceless:glottalized	◌c ◌c ◌̧ ◌’
cʰ	cH	cʰ	conso:stop:palatal:voiceless:aspirated	◌c ◌ʰ
cʷ	cw	cʷ	conso:stop:palatal:voiceless:labialized	◌c ◌ʷ
cʼ	c'	cʼ	conso:ejective:palatal:voiceless:plain	◌c ◌ʼ
cʼ	c’	cʼ	conso:ejective:palatal:voiceless:plain	◌c ◌ʼ
cˤ	c³	cˤ	conso:stop:palatal:voiceless:pharyngealized	◌c ◌ˤ
d	d	d	conso:stop:alveolar:voiced:plain	◌d
dz	dz	dz	conso:affricate:alveolar:voiced:plain	◌d ◌z
dzʰ	dzH	dzʰ	conso:affricate:alveolar:voiced:aspirated	◌d ◌z ◌ʰ
dzʲ	dzj	dzʲ	conso:affricate:alveolar:voiced:palatalized	◌d ◌z ◌ʲ
dzʷ	dzw	dzʷ	conso:affricate:alveolar:voiced:labialized	◌d ◌z ◌ʷ
dzʼ	dz'	dzʼ	conso:affricate:alveolar:voiced:glottalized	◌d ◌z ◌’
dzʼ	dz’	dzʼ	conso:affricate:alveolar:voiced:glottalized	◌d ◌z ◌’
dð	dD	dð	conso:affricate:alveolar_to_interdental:voiced:plain	◌d ◌ð
ɖʐ	d½	dʐ	conso:affricate:alveolar_to_retroflex:voiced:plain	◌ɖ ◌ʐ
dʑ	dü	dʑ	conso:affricate:alveolopalatal:voiced:plain	◌d ◌ʑ
dʒ	dZ	dʒ	conso:affricate:postalveolar:voiced:plain	◌d ◌ʒ
dʒʰ	dZH	dʒʰ	conso:affricate:postalveolar:voiced:aspirated	◌d ◌ʒ ◌ʰ
dʒʲ	dZj	dʒʲ	conso:affricate:postalveolar:voiced:palatalized	◌d ◌ʒ ◌ʲ
dʒʷ	dZw	dʒʷ	conso:affricate:postalveolar:voiced:labialized	◌d ◌ʒ ◌ʷ
dʰ	dH	dʰ	conso:stop:alveolar:voiced:aspirated	◌d ◌ʰ
dʰ	dh	dʰ	conso:stop:alveolar:voiced:aspirated	◌d ◌ʰ
dʲ	dj	dʲ	conso:stop:alveolar:voiced:palatalized	◌d ◌ʲ
dʲ	dJ	dʲ	conso:stop:alveolar:voiced:palatalized	◌d ◌ʲ
dʲ	dy	dʲ	conso:stop:alveolar:voiced:palatalized	◌d ◌ʲ
